Problem, Algorithm, Fitness Score
TTP, _Evolutionary, 10615.55874631675
TTP, _Greedy, -13703.355044794635
KNP, _Evolutionary, 15453
KNP, _Greedy, 21440
TTP, _Random, 12320.992715557635
TSP, _Evolutionary, 12176.137134401477
TSP, _Greedy, 8346.372281407064
TSP, _Random, 23100.443232744823
KNP, _Random, 16580
TTP, _Evolutionary, 9654.958187800901
TTP, _Greedy, -13703.355044794635
KNP, _Evolutionary, 16173
KNP, _Greedy, 21440
TTP, _Random, 12963.498691572937
TSP, _Evolutionary, 14945.832068542477
TSP, _Greedy, 8339.15202794298
TSP, _Random, 23166.335772506514
KNP, _Random, 16435
TTP, _Evolutionary, 11349.81199815603
TTP, _Greedy, -13703.355044794635
KNP, _Evolutionary, 15308
KNP, _Greedy, 21440
TTP, _Random, 11486.37033833462
TSP, _Evolutionary, 14072.145387565248
TSP, _Greedy, 8308.259810517138
TSP, _Random, 22768.956850205766
KNP, _Random, 16394
TTP, _Evolutionary, 10592.794634618913
TTP, _Greedy, -13703.355044794635
KNP, _Evolutionary, 15300
KNP, _Greedy, 21440
TSP, _Evolutionary, 13992.364786626726
TSP, _Greedy, 8098.993270804586
TTP, _Random, 12259.167203291192
TSP, _Random, 22567.27855123072
KNP, _Random, 16664
TTP, _Evolutionary, 11520.214613605956
TTP, _Greedy, -13703.355044794635
KNP, _Evolutionary, 15326
KNP, _Greedy, 21440
TTP, _Random, 12487.071501667708
TSP, _Evolutionary, 14784.667412158036
TSP, _Greedy, 8803.271576524396
TSP, _Random, 23066.25480902937
KNP, _Random, 16680
TTP, _Evolutionary, 10971.8752228603
TTP, _Greedy, -13703.355044794635
KNP, _Evolutionary, 15929
KNP, _Greedy, 21440
TTP, _Random, 12009.065205999688
TSP, _Evolutionary, 14017.755698175211
TSP, _Greedy, 8605.361333057246
TSP, _Random, 22701.445940127796
KNP, _Random, 17239
TTP, _Evolutionary, 12611.192507546148
TTP, _Greedy, -13703.355044794635
KNP, _Evolutionary, 14483
KNP, _Greedy, 21440
TSP, _Evolutionary, 13847.386425165632
TSP, _Greedy, 8436.722385601815
TTP, _Random, 11760.278133643447
TSP, _Random, 23450.618728604237
KNP, _Random, 16563
TTP, _Evolutionary, 9510.502939207763
TTP, _Greedy, -13703.355044794635
TTP, _Random, 12192.847932578175
KNP, _Evolutionary, 15688
KNP, _Greedy, 21440
TSP, _Evolutionary, 15149.669477654297
TSP, _Greedy, 8458.796266005415
TSP, _Random, 23342.512563336117
KNP, _Random, 16584
TTP, _Evolutionary, 9517.833896159864
TTP, _Greedy, -13703.355044794635
KNP, _Evolutionary, 15847
KNP, _Greedy, 21440
TTP, _Random, 12356.778355307972
TSP, _Evolutionary, 14503.057252670482
TSP, _Greedy, 8367.181886790277
TSP, _Random, 22162.48913005617
KNP, _Random, 16757
TTP, _Evolutionary, 8846.278124268261
TTP, _Greedy, -13703.355044794635
KNP, _Evolutionary, 15813
KNP, _Greedy, 21440
TTP, _Random, 13637.11432258953
TSP, _Evolutionary, 12509.73241220481
TSP, _Greedy, 8803.271576524396
TSP, _Random, 22887.89444025635
KNP, _Random, 16635
