Problem, Algorithm, Fitness Score
TTP, Evolutionary, 21444
KNP, Evolutionary, 30144
TSP, Evolutionary, 14158
KNP, Greedy, 38159
TTP, Greedy, -19741
TTP, Random, 13959
KNP, Random, 31774
TSP, Greedy, 7310
TSP, Random, 23052
KNP, Evolutionary, 30843
TTP, Evolutionary, 21403
TSP, Evolutionary, 12463
KNP, Greedy, 38159
TTP, Greedy, -19741
TTP, Random, 14333
KNP, Random, 32589
TSP, Greedy, 7310
TSP, Random, 23707
TTP, Evolutionary, 15363
KNP, Evolutionary, 30387
TSP, Evolutionary, 13488
TTP, Greedy, -19741
KNP, Greedy, 38159
TTP, Random, 16308
KNP, Random, 32496
TSP, Greedy, 7310
TSP, Random, 23494
TTP, Evolutionary, 19592
TSP, Evolutionary, 12376
TTP, Greedy, -19741
KNP, Evolutionary, 31020
KNP, Greedy, 38159
TTP, Random, 15285
KNP, Random, 32305
TSP, Greedy, 7310
TSP, Random, 22755
TTP, Evolutionary, 18203
KNP, Evolutionary, 31504
TSP, Evolutionary, 13360
TTP, Greedy, -19741
KNP, Greedy, 38159
TTP, Random, 11938
KNP, Random, 32481
TSP, Greedy, 7310
TSP, Random, 23607
TTP, Evolutionary, 20847
KNP, Evolutionary, 31066
TSP, Evolutionary, 14808
TTP, Greedy, -19741
KNP, Greedy, 38159
TTP, Random, 14798
KNP, Random, 31976
TSP, Greedy, 7310
TSP, Random, 22891
TTP, Evolutionary, 18740
KNP, Evolutionary, 30683
TSP, Evolutionary, 14122
KNP, Greedy, 38159
TTP, Greedy, -19741
TTP, Random, 14514
KNP, Random, 31741
TSP, Greedy, 7310
TSP, Random, 23728
TTP, Evolutionary, 16943
KNP, Evolutionary, 30895
TTP, Greedy, -19741
TSP, Evolutionary, 13463
KNP, Greedy, 38159
TTP, Random, 17397
KNP, Random, 32120
TSP, Greedy, 7310
TSP, Random, 22738
TTP, Evolutionary, 15558
KNP, Evolutionary, 30280
TSP, Evolutionary, 15331
KNP, Greedy, 38159
TTP, Greedy, -19741
TTP, Random, 13285
KNP, Random, 32037
TSP, Greedy, 7310
TSP, Random, 23469
TTP, Evolutionary, 21685
TSP, Evolutionary, 14960
TTP, Greedy, -19741
KNP, Evolutionary, 29864
KNP, Greedy, 38159
TTP, Random, 15041
KNP, Random, 32171
TSP, Greedy, 7310
TSP, Random, 23707
